Case ID;Court ID;Lawyer ssn;Client ssn;Case Value;Case Status;Case Date
1;4;295-62-2630;513-57-8403;28955;lost;2020-07-05
2;2;293-64-6251;407-02-9374;72350;won;2020-07-21
3;1;601-34-3357;513-57-8403;67080;won;2020-06-27
4;2;745-11-2147;616-05-7176;92810;won;2020-07-30
5;3;774-78-1028;407-02-9374;32529;won;2020-08-18
6;3;370-01-4095;836-18-7873;12918;lost;2020-06-27
7;2;774-78-1028;663-41-7713;83859;lost;2020-06-14
8;1;251-74-8573;300-16-9594;53771;won;2020-08-29
9;2;149-44-5404;616-05-7176;23915;won;2020-06-18
10;4;745-11-2147;106-34-8045;81619;won;2020-06-06
11;3;601-34-3357;065-39-2466;60986;lost;2020-08-29
12;3;293-64-6251;328-97-5983;7599;lost;2020-07-20
13;3;293-64-6251;407-02-9374;6671;lost;2020-06-12
14;4;251-74-8573;836-18-7873;11013;lost;2020-08-01
15;3;443-86-2818;513-57-8403;46345;lost;2020-06-24
16;2;745-11-2147;002-14-8350;12313;won;2020-08-18
17;2;251-74-8573;065-39-2466;1943;lost;2020-06-11
18;1;293-64-6251;065-39-2466;57397;lost;2020-07-01
19;2;601-34-3357;663-41-7713;16390;lost;2020-06-20
20;3;443-86-2818;836-18-7873;68092;won;2020-06-13
21;4;443-86-2818;300-16-9594;52818;lost;2020-06-18
22;3;601-34-3357;513-57-8403;2147;lost;2020-08-01
23;1;295-62-2630;300-16-9594;62071;won;2020-05-27
24;4;370-01-4095;002-14-8350;56630;won;2020-06-29
25;2;295-62-2630;407-02-9374;9970;won;2020-06-24
26;2;251-74-8573;106-34-8045;81541;lost;2020-07-08
27;2;745-11-2147;616-05-7176;66451;won;2020-05-29
28;3;295-62-2630;065-39-2466;7171;won;2020-08-23
29;4;295-62-2630;407-02-9374;55490;lost;2020-07-09
30;1;251-74-8573;407-02-9374;14925;won;2020-08-24
31;4;293-64-6251;065-39-2466;44322;won;2020-07-06
32;3;295-62-2630;002-14-8350;3440;lost;2020-08-14
33;2;774-78-1028;065-39-2466;5885;lost;2020-07-01
34;2;745-11-2147;300-16-9594;30416;won;2020-07-10
35;2;601-34-3357;836-18-7873;35881;lost;2020-06-22
36;2;251-74-8573;663-41-7713;82015;won;2020-07-17
37;2;149-44-5404;663-41-7713;38252;lost;2020-07-15
38;4;251-74-8573;616-05-7176;79156;lost;2020-08-11
39;4;601-34-3357;836-18-7873;2393;won;2020-08-05
40;1;295-62-2630;616-05-7176;37670;lost;2020-08-21
41;3;149-44-5404;002-14-8350;82746;won;2020-07-27
42;2;370-01-4095;002-14-8350;98601;lost;2020-07-23
43;1;370-01-4095;328-97-5983;19188;won;2020-06-07
44;1;057-09-5985;513-57-8403;45978;lost;2020-06-01
45;3;370-01-4095;300-16-9594;67899;lost;2020-07-03
46;1;774-78-1028;328-97-5983;55301;won;2020-05-24
47;1;149-44-5404;836-18-7873;91186;lost;2020-07-26
48;1;443-86-2818;513-57-8403;22297;lost;2020-08-26
49;3;745-11-2147;513-57-8403;18488;lost;2020-05-29
50;2;601-34-3357;663-41-7713;58475;won;2020-08-08
51;4;774-78-1028;002-14-8350;91699;won;2020-06-01
52;1;251-74-8573;328-97-5983;19977;won;2020-08-26
53;1;745-11-2147;002-14-8350;16568;won;2020-07-11
54;4;251-74-8573;836-18-7873;23447;lost;2020-07-09
55;4;601-34-3357;836-18-7873;5651;won;2020-06-23
56;1;293-64-6251;513-57-8403;8185;won;2020-07-15
57;1;774-78-1028;106-34-8045;37285;lost;2020-08-07
58;1;293-64-6251;836-18-7873;3312;won;2020-07-31
59;3;774-78-1028;407-02-9374;28603;lost;2020-06-17
60;3;443-86-2818;065-39-2466;56127;lost;2020-08-10
61;2;149-44-5404;513-57-8403;94480;lost;2020-06-16
62;4;443-86-2818;300-16-9594;31550;lost;2020-06-10
63;3;774-78-1028;616-05-7176;27911;won;2020-08-22
64;3;370-01-4095;065-39-2466;9745;won;2020-05-31
65;1;774-78-1028;513-57-8403;1376;won;2020-08-18
66;1;745-11-2147;513-57-8403;49566;won;2020-07-03
67;1;745-11-2147;836-18-7873;63207;won;2020-06-12
68;4;745-11-2147;836-18-7873;57854;lost;2020-08-11
69;2;443-86-2818;663-41-7713;97348;lost;2020-08-18
70;2;774-78-1028;002-14-8350;80106;won;2020-07-12
71;2;295-62-2630;106-34-8045;29375;lost;2020-06-15
72;1;745-11-2147;002-14-8350;41054;lost;2020-08-05
73;1;745-11-2147;513-57-8403;40570;won;2020-08-28
74;1;370-01-4095;407-02-9374;23173;won;2020-08-09
75;4;295-62-2630;065-39-2466;24747;lost;2020-05-30
76;4;774-78-1028;616-05-7176;82513;lost;2020-07-28
77;2;251-74-8573;328-97-5983;72652;won;2020-06-27
78;4;370-01-4095;002-14-8350;60041;lost;2020-08-17
79;2;149-44-5404;407-02-9374;63201;won;2020-06-30
80;3;745-11-2147;002-14-8350;71321;won;2020-06-06
81;4;149-44-5404;663-41-7713;85328;won;2020-06-20
82;2;251-74-8573;513-57-8403;13375;lost;2020-08-19
83;4;251-74-8573;836-18-7873;57928;won;2020-06-19
84;4;370-01-4095;328-97-5983;16244;won;2020-06-20
85;3;443-86-2818;106-34-8045;22180;won;2020-06-06
